Date,Inflation Rate
1/1/2002,1.3
2/1/2002,1.4
3/1/2002,1.9
4/1/2002,1.7
5/1/2002,1.1
6/1/2002,1.2
7/1/2002,2.1
8/1/2002,2.5
9/1/2002,2.3
10/1/2002,3.2
11/1/2002,4.4
12/1/2002,3.8
1/1/2003,4.5
2/1/2003,4.7
3/1/2003,4.2
4/1/2003,2.9
5/1/2003,2.8
6/1/2003,2.6
7/1/2003,2.1
8/1/2003,2
9/1/2003,2.2
10/1/2003,1.6
11/1/2003,1.6
12/1/2003,2.1
1/1/2004,1.3
2/1/2004,0.7
3/1/2004,0.8
4/1/2004,1.7
5/1/2004,2.4
6/1/2004,2.5
7/1/2004,2.3
8/1/2004,1.8
9/1/2004,1.8
10/1/2004,2.3
11/1/2004,2.4
12/1/2004,2.1
1/1/2005,1.9
2/1/2005,2.1
3/1/2005,2.3
4/1/2005,2.4
5/1/2005,1.6
6/1/2005,1.7
7/1/2005,2
8/1/2005,2.6
9/1/2005,3.2
10/1/2005,2.6
11/1/2005,2
12/1/2005,2.1
1/1/2006,2.8
2/1/2006,2.2
3/1/2006,2.2
4/1/2006,2.4
5/1/2006,2.8
6/1/2006,2.4
7/1/2006,2.3
8/1/2006,2.1
9/1/2006,0.7
10/1/2006,1
11/1/2006,1.4
12/1/2006,1.7
1/1/2007,1.1
2/1/2007,2
3/1/2007,2.3
4/1/2007,2.2
5/1/2007,2.2
6/1/2007,2.2
7/1/2007,2.2
8/1/2007,1.7
9/1/2007,2.5
10/1/2007,2.4
11/1/2007,2.5
12/1/2007,2.4
1/1/2008,2.2
2/1/2008,1.8
3/1/2008,1.4
4/1/2008,1.7
5/1/2008,2.2
6/1/2008,3.1
7/1/2008,3.4
8/1/2008,3.5
9/1/2008,3.4
10/1/2008,2.6
11/1/2008,2
12/1/2008,1.2
1/1/2009,1.1
2/1/2009,1.4
3/1/2009,1.2
4/1/2009,0.4
5/1/2009,0.1
6/1/2009,-0.3
7/1/2009,-0.9
8/1/2009,-0.8
9/1/2009,-0.9
10/1/2009,0.1
11/1/2009,1
12/1/2009,1.3
1/1/2010,1.9
2/1/2010,1.6
3/1/2010,1.4
4/1/2010,1.8
5/1/2010,1.4
6/1/2010,1
7/1/2010,1.8
8/1/2010,1.7
9/1/2010,1.9
10/1/2010,2.4
11/1/2010,2
12/1/2010,2.4
1/1/2011,2.3
2/1/2011,2.2
3/1/2011,3.3
4/1/2011,3.3
5/1/2011,3.7
6/1/2011,3.1
7/1/2011,2.7
8/1/2011,3.1
9/1/2011,3.2
10/1/2011,2.9
11/1/2011,2.9
12/1/2011,2.3
1/1/2012,2.5
2/1/2012,2.6
3/1/2012,1.9
4/1/2012,2
5/1/2012,1.2
6/1/2012,1.5
7/1/2012,1.3
8/1/2012,1.2
9/1/2012,1.2
10/1/2012,1.2
11/1/2012,0.8
12/1/2012,0.8
1/1/2013,0.5
2/1/2013,1.2
3/1/2013,1
4/1/2013,0.4
5/1/2013,0.7
6/1/2013,1.2
7/1/2013,1.3
8/1/2013,1.1
9/1/2013,1.1
10/1/2013,0.7
11/1/2013,0.9
12/1/2013,1.2
1/1/2014,1.5
2/1/2014,1.1
3/1/2014,1.5
4/1/2014,2
5/1/2014,2.3
6/1/2014,2.4
7/1/2014,2.1
8/1/2014,2.1
9/1/2014,2
10/1/2014,2.4
11/1/2014,2
12/1/2014,1.5
1/1/2015,1
2/1/2015,1
3/1/2015,1.2
4/1/2015,0.8
5/1/2015,0.9
6/1/2015,1
7/1/2015,1.3
8/1/2015,1.3
9/1/2015,1
10/1/2015,1
11/1/2015,1.4
12/1/2015,1.6
1/1/2016,2
2/1/2016,1.4
3/1/2016,1.3
4/1/2016,1.7
5/1/2016,1.5
6/1/2016,1.5
7/1/2016,1.3
8/1/2016,1.1
9/1/2016,1.3
10/1/2016,1.5
11/1/2016,1.2
12/1/2016,1.5
1/1/2017,2.1
2/1/2017,2
3/1/2017,1.6
4/1/2017,1.6
5/1/2017,1.3
6/1/2017,1
7/1/2017,1.2
8/1/2017,1.4
9/1/2017,1.6
10/1/2017,1.4
11/1/2017,2.1
12/1/2017,1.9
1/1/2018,1.7
2/1/2018,2.2
3/1/2018,2.3
4/1/2018,2.2
5/1/2018,2.2
6/1/2018,2.5
7/1/2018,3
8/1/2018,2.8
9/1/2018,2.2
10/1/2018,2.4
11/1/2018,1.7
12/1/2018,2
1/1/2019,1.4
2/1/2019,1.5
3/1/2019,1.9
4/1/2019,2
5/1/2019,2.4
6/1/2019,2
7/1/2019,2
8/1/2019,1.9
9/1/2019,1.9
10/1/2019,1.9
11/1/2019,2.2
12/1/2019,2.2
1/1/2020,2.4
2/1/2020,2.2
3/1/2020,0.9
4/1/2020,-0.2
5/1/2020,-0.4
6/1/2020,0.7
7/1/2020,0.1
8/1/2020,0.1
9/1/2020,0.5
10/1/2020,0.7
11/1/2020,1
12/1/2020,0.7
1/1/2021,1
2/1/2021,1.1
3/1/2021,2.2
4/1/2021,3.4
5/1/2021,3.6
6/1/2021,3.1
7/1/2021,3.7
8/1/2021,4.1
9/1/2021,4.4
10/1/2021,4.7
11/1/2021,4.7
12/1/2021,4.8
1/1/2022,5.1